date,adj_close
2018-03-27,16.44
2018-03-26,16.67
2018-03-23,15.78
2018-03-22,15.73
2018-03-21,15.95
2018-03-20,16.0
2018-03-19,16.15
2018-03-16,16.19
2018-03-15,15.9
2018-03-14,16.08
2018-03-13,16.56
2018-03-12,17.18
2018-03-09,17.05
2018-03-08,17.16
2018-03-07,17.38
2018-03-06,17.62
2018-03-05,17.42
2018-03-02,17.02
2018-03-01,16.14
2018-02-28,16.58
2018-02-27,16.75
2018-02-26,17.25
2018-02-23,17.02
2018-02-22,16.62
2018-02-21,17.03
2018-02-20,17.14
2018-02-16,17.36
2018-02-15,18.41
2018-02-14,17.76
2018-02-13,16.7
2018-02-12,14.23
2018-02-09,13.75
2018-02-08,13.14
2018-02-07,13.26
2018-02-06,13.1
2018-02-05,12.92
2018-02-02,13.65
2018-02-01,13.95
2018-01-31,13.86
2018-01-30,14.11
2018-01-29,14.53
2018-01-26,14.62
2018-01-25,14.57
2018-01-24,14.93
2018-01-23,14.99
2018-01-22,14.55
2018-01-19,14.21
2018-01-18,13.7
2018-01-17,13.83
2018-01-16,13.81
2018-01-12,15.12
2018-01-11,15.3
2018-01-10,15.06
2018-01-09,15.11
2018-01-08,15.98
2018-01-05,15.87
2018-01-04,15.92
2018-01-03,15.72
2018-01-02,15.03
2017-12-29,14.43
2017-12-28,15.52
2017-12-27,15.73
2017-12-26,15.66
2017-12-22,15.5
2017-12-21,15.51
2017-12-20,15.17
2017-12-19,15.43
2017-12-18,15.65
2017-12-15,15.17
2017-12-14,13.82
2017-12-13,13.62
2017-12-12,13.59
2017-12-11,13.5
2017-12-08,13.63
2017-12-07,13.28
2017-12-06,12.89
2017-12-05,13.01
2017-12-04,13.35
2017-12-01,13.15
2017-11-30,13.29
2017-11-29,13.57
2017-11-28,12.88
2017-11-27,12.68
2017-11-24,12.99
2017-11-22,13.09
2017-11-21,12.85
2017-11-20,13.44
2017-11-17,13.08
2017-11-16,12.76
2017-11-15,12.41
2017-11-14,12.15
2017-11-13,12.17
2017-11-10,12.52
2017-11-09,12.01
2017-11-07,11.88
2017-11-06,12.02
2017-11-03,11.61
2017-11-02,11.78
2017-11-01,12.05
2017-10-31,12.52
2017-10-30,16.41
2017-10-27,16.04
2017-10-26,16.38
2017-10-25,15.99
2017-10-24,16.3
2017-10-23,16.85
2017-10-20,17.48
2017-10-19,16.45
2017-10-18,16.33
2017-10-17,16.31
2017-10-16,16.25
2017-10-13,16.19
2017-10-12,16.55
2017-10-11,16.52
2017-10-10,16.84
2017-10-09,16.65
2017-10-06,17.02
2017-10-05,16.53
2017-10-04,16.47
2017-10-03,16.71
2017-10-02,16.6
2017-09-29,16.48
2017-09-28,16.46
2017-09-27,16.42
2017-09-26,16.54
2017-09-25,16.74
2017-09-22,16.41
2017-09-21,16.49
2017-09-20,16.54
2017-09-19,16.81
2017-09-18,17.37
2017-09-15,17.79
2017-09-14,17.95
2017-09-13,18.12
2017-09-12,17.54
2017-09-11,17.42
2017-09-08,17.42
2017-09-07,17.33
2017-09-06,17.03
2017-09-05,16.76
2017-09-01,16.37
2017-08-31,16.15
2017-08-30,16.23
2017-08-29,16.43
2017-08-28,16.93
2017-08-25,17.18
2017-08-24,17.05
2017-08-23,16.99
2017-08-22,16.78
